input,Label
"Although it was not possible for us to ensure that all the claims produced by the AI in our experiment were accurate, we hired a professional fact-checker to evaluate the veracity and potential bias of all 128 claims made by GPT-4-turbo across representative example conversations from each of the 11 major conspiracy clusters generated by participants in our experiments.",Not a Scientific Claim
"Our study primarily relied on American online survey respondents who chose to participate in studies for material compensation, which raises questions about generalizability. ",Not a Scientific Claim
"This design choice directed the AI’s attention to refuting specific claims, while simulating a more natural dialogue where the participant had already articulated their viewpoint.",Not a Scientific Claim
"To further enhance this tailored approach, we provided the AI with each participant’s written conspiracy rationale as the conversation’s opening message, along with the participant’s initial rating of their belief in the conspiracy.",Not a Scientific Claim
"This design allows us to test whether tailored persuasive communication is indeed able to reduce already-held conspiracy beliefs; how the effectiveness of such communication varies based on factors such as the intensity of the preexisting belief, the participant’s subscription to a more general conspiratorial mindset, the importance of the conspiracy to the participant’s life, and the content of the specific conspiracy theory articulated by the participants; and whether any such persuasion spills over to other related beliefs and behaviors.",Not a Scientific Claim
All interviews were audio recorded and transcribed verbatim.,Not a Scientific Claim
"To be clear, our research goal is to characterize the space of analytic processes and decisions, not to quantify the prevalence of any specific activity. ",Not a Scientific Claim
We integrated raw codes within each theme to extract common concepts and patterns.,Not a Scientific Claim
"Researchers face many, often seemingly arbitrary, choices in formulating hypotheses, designing protocols, collecting data, analyzing data, and reporting results. ",Not a Scientific Claim
The Prereg Challenge format was a “structured” workflow with detailed instructions and an independent review to confirm completeness; the “Standard” format was “unstructured” with minimal direct guidance to give researchers flexibility for what to prespecify.,Not a Scientific Claim
"We conclude that effective preregistration is challenging, and registration formats that provide effective guidance may improve the quality of research.",Scientific Claim
"The scientific method is not a static process or set of techniques, but rather an evolving constellation of practices for formulating hypotheses, making observations, gathering data about testable predictions, and developing general theories.",Grey Area Claim
Progress in science is marked both by creation of knowledge and improving methodology. ,Grey Area Claim
One such improvement that is gaining popularity is preregistration with particularly rapid adoption in social and behavioral sciences like psychology.,Not a Scientific Claim
"The key features of preregistration are (1) a priori specification of the research design and analysis plan; (2) posting the plan in discoverable repositories prior to observing the outcomes of the study; and (3) reporting all of the planned analyses. Preregistration is, therefore, comparable to prospective registration of clinical trials, although with an added focus on registering planned analyses. ",Not a Scientific Claim
Specification of the design and the analysis plan before observing the outcomes prevents the outcomes from affecting design and analysis decisions. ,Scientific Claim
"Without preregistration, this problem is prone to occur because of ordinary confirmation, hindsight, and outcome biases that affect human reasoning.",Scientific Claim
Reporting all of the planned analyses enables accurate statistical inferences such as avoiding the inflation of false positives in null hypothesis significance testing based on selective reporting of multiple alternative analytic results.,Scientific Claim
"Preregistration clarifies the distinction between planned and unplanned analyses, often corresponding to confirmatory, or hypothesis-testing research, and exploratory, or hypothesis-generating research.",Scientific Claim
Note that “unplanned” and “exploratory” are not redundant.,Not a Scientific Claim
"One can plan, and preregister, exploratory analyses to retain confidence in statistical inferences when there is little basis for articulating a priori hypotheses.",Scientific Claim
"A specific, precise, and exhaustive description would include the protocol to administer the items, the scoring of the items, and the procedure to construct the composite score from the items.",Not a Scientific Claim
Prizes were earned after authors published their completed studies in 1 of the participating journals.,Not a Scientific Claim
"To be eligible for 1 of the 1,000 prizes of US$1,000, participants had to submit a fully completed “Prereg Challenge Registration” form for review by the COS. ",Not a Scientific Claim
"Given the rapidly growing interest in preregistration across disciplines, it is important to evaluate the extent to which preregistrations restrict opportunistic use of researcher degrees of freedom. ",Grey Area Claim
We did not examine the Open-ended Registrations because we wanted to only include registrations of which the researchers explicitly indicated that they had not collected or looked at the data before composing the preregistration.,Not a Scientific Claim
"As this would be after our data collection period, we decided not to assess their preregistrations in our study.",Not a Scientific Claim
"We evaluated to what extent preregistration formats restricted opportunistic use of 29 researcher degrees of freedom, collectively providing a Transparency Score for preregistrations.",Not a Scientific Claim
"To emulate our intended best practice on the 29 researcher degrees of freedom, we wrote our own preregistration according to these standards and continued revision until it received full marks from 1 of the members of the coding team (EC) who was not involved in the creation of the scoring protocol.",Not a Scientific Claim
"Instead, we considered a medium effect size to be an indication of a practically relevant difference between the 2 types of preregistrations.",Not a Scientific Claim
We did not attempt to resolve discrepancies about the number of hypotheses as this was not part of our analyses but merely served as an indication of clarity and specificity of the preregistrations.,Not a Scientific Claim
Some degrees of freedom carried more weight in the Transparency Score than others because of dependencies between them.,Grey Area Claim
"Note that Transparency Scores based on these subsets are not preregistered, and all analyses that include these scores should be considered exploratory.",Not a Scientific Claim
Our first research question was whether preregistrations that were written following a more detailed and specific form (Structured format) restricted use of researcher degrees of freedom more than preregistrations that were written following an open and flexible form (Unstructured format).,Not a Scientific Claim
"In line with our confirmatory hypothesis, registrations from Structured formats (Mdn = 0.81) received higher median Transparency Scores than those from Unstructured formats (Mdn = 0.57), U = 2,053, p < 0.001.",Scientific Claim
The difference was large (Cliff’s Delta = 0.49).,Not a Scientific Claim
"The highest Transparency Score of a preregistration received in the Unstructured format was 1.05, whereas the highest score received in the Structured group was 1.47 (Range = 0 to 3).",Scientific Claim
"In Table 2 and S1 and S2 Figs, we report for each type of preregistration the mean and distribution of scores for each degree of freedom and the Wilcoxon–Mann–Whitney U test and Cliff’s Delta effect size.",Not a Scientific Claim
We observed higher scores in Structured than Unstructured formats for 22 of 29 degrees of freedom and significantly so for 14 of 29 (α = 0.05) and for 5 of 29 after applying the Holm correction (note that this correction was not preregistered).,Scientific Claim
For just 1 degree of freedom (blinding) was the score significantly higher for Unstructured than Structured formats.,Scientific Claim
"Scores of 3 were rare indicating that use of researcher degrees of freedom was not fully restricted (specific, precise, and exhaustive) in either format.",Scientific Claim
"Degrees of freedom related to the hypothesis (and reporting). All preregistrations scored 0 on restricting hypothesizing after the results are known (HARKing; R6), restricting measuring additional constructs (D4), and restricting the selection of another primary outcome (A7).",Scientific Claim
"Scores for these could only be 0 or 3, and none of the preregistrations explicitly specified that the confirmatory analysis section of the paper would not include another dependent variable than the ones specified in the preregistration.",Scientific Claim
An obvious possible explanation is that researchers may assume that not mentioning other dependent variables means that no other dependent variables exist.,Grey Area Claim
Degrees of freedom related to design. Registrations from Structured formats performed better than those from Unstructured formats on degrees of freedom that pertained to the operationalization of the variables in the study.,Scientific Claim
"For example, Structured formats outperformed Unstructured formats on preventing the inclusion of multiple manipulated independent variables (D1; D = 0.22), multiple measures of the dependent variables (D3 and A5; D = 0.19), and additional independent variables that can be used for inclusion and exclusion (D5 and A12; D = 0.24).",Scientific Claim
"Transparent reporting of these degrees of freedom can prevent common questionable research practices like failing to report all dependent variables, failing to report all of a study’s conditions, and informed exclusion of data (self-admittances rates of 63.4%, 27.7%, and 38.2%, respectively).",Scientific Claim
"Likewise, clarity about the sampling plan (D7; D = 0.21) and data collection stopping rule (C4; D = 0.21) were better in the Structured format.",Scientific Claim
"The Structured format leaves room for authors to state that they will recruit a sample of “at least” a certain size. Therefore, continued sampling after intermediate testing is not precluded, which might explain that the difference here was rather small.",Grey Area Claim
"Most of the degrees of freedom related to design were relatively well restricted compared to others, although restricting the inclusion of multiple manipulated independent variable (D1) and restricting the inclusion of additional variables that could be used for covariates or moderators (D2 and A10) were not in either format.",Scientific Claim
"The Structured format asks authors to list all variables in the study, but it does not ask for what purpose.",Not a Scientific Claim
"Degrees of freedom related to data collection. Transparency about random assignment (C1) was rather poor in both formats, but better in Structured (D = 0.36), in which the format prompts authors to at least mention randomization.",Scientific Claim
"Transparency of how data are treated during data collection was hardly addressed in either format, and no difference was observed (C3; D = 0.00).",Scientific Claim
"Curiously, reporting about blinding participants or experimenters (C2) was better in the Unstructured than Structured format, and the difference was large (D = −0.59).",Scientific Claim
"However, this may have occurred because of the coding strategy.",Grey Area Claim
"In most Unstructured registrations (90.6%), this degree of freedom was coded as “Not Applicable,” whereas in most Structured registrations (92.3%), it was coded as 0.",Grey Area Claim
The protocol first asked whether blinding of participants and/or experimenters was mentioned.,Not a Scientific Claim
"In Unstructured registrations, the word “blinding” hardly ever appeared, resulting in most being coded as “not applicable.”",Not a Scientific Claim
"If blinding was mentioned, the coder checked whether the preregistration described procedures to blind participants or experimenters.",Not a Scientific Claim
This was often coded as 0 because authors responded that blinding was not applicable or that no blinding occurred.,Not a Scientific Claim
"We decided to adhere to the preregistered protocol; however, we believe the resulting scores are unrepresentative of the Structured formats’ performance on this item.",Grey Area Claim
"Transparency about testing and handling the assumptions of the statistical model (A3) and the software and packages to use for analysis (A14) was poor in both formats, and there was no significant difference (D = 0.10 and D = 0.06, respectively).",Scientific Claim
"The Structured format was rather specific about aspects to be considered in the description of the statistical model, but it does not explicitly solicit information about violations of statistical assumptions, estimation method, or software to be used.",Not a Scientific Claim
"Neither format did very well in eliciting complete responses for handling missing data (A1), but the Structured format did much better than the Unstructured format (D = 0.53).",Scientific Claim
"Both formats did better in reporting how outliers would be managed (A4), with the Structured format doing better than the Unstructured format (D = 0.27).",Scientific Claim
The Structured format also did better in eliciting clarity about operationalizing of independent variables (A9) compared with the Unstructured format (D = 0.36).,Scientific Claim
"However, the mean scores on this degree of freedom were heavily influenced by the relatively high number of preregistrations that received a score of 3, particularly for the Structured format.",Scientific Claim
"When the analysis concerned a t test (or a nonparametric equivalent), a common occurrence, we considered this degree of freedom excluded by definition and therefore assigned a score of 3.",Not a Scientific Claim
"Also, the Structured format encouraged and elicited sharing of analysis scripts (leading to a score of at least 2), whereas this never occurred in the Unstructured format.",Scientific Claim
"The choice of statistical model (A13) was relatively well reported in both formats, but better in the Structured format (D = 0.34).",Scientific Claim
"Finally, the criteria for drawing inference (A15) was much better reported in the Structured than Unstructured format (D = 0.83).",Scientific Claim
Degrees of freedom associated with a specific prompt in the Structured format tended to show the strongest performance advanced for that format.,Scientific Claim
Straightforward adaptations of preregistration workflows may be helpful.,Scientific Claim
Explicit commitments to exhaustiveness—what will not be done—may reduce this tendency.,Grey Area Claim
"Studies on registrations of clinical trials show that outcome switching and HARKing are common [45–55], perhaps because of a failure to commit to not doing these behaviors.",Grey Area Claim
"For example, if a researcher does not state anything about the handling of outliers, it could mean they will not remove any, or it could mean that they will make decisions about outliers after the fact.",Not a Scientific Claim
"On the other hand, the modest overall performance is partly attributable to the strictness of our protocol.",Not a Scientific Claim
"In many cases, the Structured format hardly performed better than the Unstructured format, and 8 degrees of freedom indicators scored close to 0 on average.",Not a Scientific Claim
"The Structured format outperformed the Unstructured format, but neither performed impressively.",Scientific Claim
The Structured format appeared to outperform the Unstructured format more when its prompts specifically articulated instructions to reduce degrees of freedom.,Scientific Claim
All of these had scores near 0 suggesting that they were hardly addressed at all.,Scientific Claim
"However, transparent reporting of the hypotheses (T1) was significantly better than all other degrees of freedom.",Scientific Claim
This can help inform where preregistration is doing relatively well in transparent reporting and where there is most opportunity to improve,Not a Scientific Claim
"Following our preregistration, we computed a score indicating to what extent a preregistration restricted opportunistic use of degrees of freedom.",Not a Scientific Claim
This Transparency Score was computed as the unweighted arithmetic mean of the scores (0 to 3) of all 29 researcher degrees of freedom in our protocol.,Not a Scientific Claim
"The degree of freedom labels were added manually, and some column names were adapted.",Not a Scientific Claim
"The ""means per degree of freedom"" in Table 2 were calculated as the unweighted arithmetic mean of the scores (0 to 3) across each set of 53 and 52 preregistrations.",Not a Scientific Claim
"Therefore, for exploratory purposes, we also calculated an aggregate score based on all items except those 3.",Not a Scientific Claim
"Furthermore, we calculated Transparency Scores for each subcategory (e.g., design and data collection) separately.",Not a Scientific Claim
Our first research question was whether preregistrations that were written following a more detailed and specific form (Structured format) restricted use of researcher degrees of freedom more than preregistrations that were written following an open and flexible form (Unstructured format).,Not a Scientific Claim
"To test our primary hypothesis, we compared the median Transparency Score of the Structure format to the median Transparency Score of the Unstructured format with a 1-tailed 2-group Wilcoxon–Mann–Whitney U test.",Not a Scientific Claim
"We chose this test because we expected the Transparency Score to be non-normally distributed, and this nonparametric test is robust against non-normality while still being relatively powerful.",Not a Scientific Claim
We then conducted preregistered follow-up analyses to investigate on which degrees of freedom the 2 preregistration types differed.,Not a Scientific Claim
We conducted 29 preregistered 2-tailed Wilcoxon–Mann–Whitney U tests to compare the median scores of the 2 formats per degree of freedom.,Not a Scientific Claim
"In addition, we conducted registered follow-up analyses with 2-tailed paired-sample sign tests (without ties) to examine which degrees of freedom are the least and most restricted across both formats.",Not a Scientific Claim
We employed Cliff’s Delta to assess effect size for comparing central tendency of ordinal variables.,Not a Scientific Claim
"For exploratory analyses, we performed a nonparametric bootstrap procedure to compare the median Transparency Scores.",Not a Scientific Claim
"Furthermore, the Transparency Scores on the subsets of items created for exploratory purposes are compared with the 2-tailed 2-group Wilcoxon–Mann–Whitney U test consistent with the other analyses.",Not a Scientific Claim
We explored the association between the Transparency Scores of the different categories with Spearman rank order correlations.,Not a Scientific Claim
Cliff’s Delta does not make any assumptions on the distributions of the 2 variables and is easily interpretable.,Grey Area Claim
"Although we did not preregister a correction for multiple comparisons, we present the Holm corrected p-values, taking into account the large number of tests we conducted.",Not a Scientific Claim
"Values under 0.147 are considered 'negligible,' values between 0.147 and 0.330 are considered 'small,' values between 0.330 and 0.474 are considered 'medium,' and values larger than 0.474 are considered 'large'.",Not a Scientific Claim
"For our analyses, we used an R script (R version 3.2.4), which was an elaborated version of our preregistered analysis script.",Not a Scientific Claim
We did not exclude any data except for 1 preregistration before coding it (see sample description).,Not a Scientific Claim
"The data file was checked for missing values, and coders who left values missing then coded the variables they missed.",Not a Scientific Claim
Values coded as 99 indicated that the specific variable was not applicable for that registration.,Not a Scientific Claim
"Following our preregistration, we employed 2-way imputation (based on corresponding row and column means) to handle missing values.",Not a Scientific Claim
"And, for our planned follow-up analyses, we employed pairwise deletion of missing values at the degree of freedom level.",Not a Scientific Claim
The tables in this manuscript were created using an R Markdown script.,Not a Scientific Claim
"This dataset includes 2,524 representative queries covering 146 databases, paired with accurately labeled ground truths.",Not a Scientific Claim
"We advocate for a comprehensive automated evaluation methodology covering multiple dimensions, including validity, legality, and readability.",Not a Scientific Claim
"By systematically scanning for potential issues with a number of heterogeneous checkers, VisEval provides reliable and trustworthy evaluation outcomes.",Scientific Claim
We run VisEval on a series of state-of-the-art LLMs.,Not a Scientific Claim
Our evaluation reveals prevalent challenges and delivers essential insights for future advancements.,Grey Area Claim
Recent advancements in pre-trained large language models (LLMs) are opening new avenues for generating visualizations from natural language.,Grey Area Claim
"Translating natural language to visualization (NL2VIS) has shown great promise for visual data analysis, but it remains a challenging task that requires multiple low-level implementations, such as natural language processing and visualization design.",Scientific Claim
"However, the lack of a comprehensive and reliable benchmark hinders our understanding of LLMs’ capabilities in visualization generation.",Scientific Claim
"Firstly, we introduce a high-quality and large-scale dataset.",Not a Scientific Claim
LLMs-based methods have rapidly emerged as the predominant approach for addressing NL2VIS tasks.,Not a Scientific Claim
Such shortcomings highlight the urgent need for systematic evaluation and benchmarking that points out potential issues in the generated results and reporting reliable evaluation outcomes.,Grey Area Claim
We implement a data filtering procedure that combines the intelligence of state-of-the-art LLMs and experiences from visualization experts.,Not a Scientific Claim
"NL2VIS, the task of translating natural language (NL) queries based on provided data tables into visualizations (VIS), has been a longstanding goal in the field of data visualization.",Not a Scientific Claim
"Visualizations may appear correct at first glance, but they contain easily overlooked issues that can mislead users.",Scientific Claim
"Mainstream NL2VIS datasets either focus on narrow domains and lack scalability, or contain incorrect labels and ambiguous queries.",Scientific Claim
"Some evaluations solely look at the correctness of presented data, neglecting other dimensions such as readability.",Scientific Claim
"To the best of our knowledge, no existing benchmarks contain both high-quality and large-scale datasets along with reliable automated evaluation methodologies that cover diverse metrics.",Not a Scientific Claim
"To gain insights into the reliable evaluation of LLMs-generated visualizations, we conducted a preliminary study involving four human experts with more than five years of experience in the field of visualization.",Not a Scientific Claim
Three hundred queries were randomly sampled from a widely used dataset nvBench [39].,Not a Scientific Claim
"Following this, four experts independently reviewed the codes and chart images generated by each of the four models, taking the ground truth provided in nvBench as a reference.",Not a Scientific Claim
"We made three observations throughout this process, regarding factors that are influencing the quality of generated visualizations and issues within the evaluation process.",Not a Scientific Claim
"This is primarily manifested when a query describes an unreasonable visualization, leading to visualizations that are either meaningless or confusing.",Scientific Claim
"Furthermore, some queries are ambiguous, making it difficult to ascertain if they meet the expected standards, and in some cases, the ground truth of certain queries is incorrectly labeled.",Scientific Claim
"We categorized the inherent defects that hinder comprehension into three dimensions based on expert discussions and previous literature related to visualization linting [7, 44] and code generation benchmark [32, 72].",Not a Scientific Claim
"In the era of large language models, a typical workflow of NL2VIS tasks involves assembling queries along with tabular data as input.",Grey Area Claim
"Subsequently, LLMs are utilized to generate code based on established visualization libraries, resulting in intermediary output.",Not a Scientific Claim
The generated code is executed in a sandboxed environment to obtain the final chart image.,Not a Scientific Claim
These libraries are widely adopted within the community and are renowned for their versatility in producing a wide range of visualizations.,Grey Area Claim
"While the authors and the employed experts identify numerous issues through human evaluation, this methodology proves unsustainable for future benchmarking due to its labor-intensive nature and lack of objectivity.",Scientific Claim
The NL2VIS benchmark dataset typically includes pairs of natural language queries (NL) and corresponding visualizations (VIS).,Not a Scientific Claim
"This meta-information, which details implicit and explicit query specifics, serves as constraints during evaluation to determine the most appropriate charts.",Not a Scientific Claim
The model showed impressive proficiency in text recognition and comprehension of visualizations.,Scientific Claim
The layout check entails assessing overflow and text overlap within visualizations.,Not a Scientific Claim
"At times, words partially extended beyond the canvas, with segments of the letters fully displayed, posing a challenge to the model.",Grey Area Claim
"Moreover, there were instances where the model could infer complete words from partial text, potentially influencing its ability to accurately judge whether words were fully displayed.",Grey Area Claim
"Additionally, there are instances involving improper visual mapping.",Grey Area Claim
Some instances fail to create the legal chart types.,Grey Area Claim
The third category indicates that the generated visualization does not undergo appropriate visual transformation.,Scientific Claim
Another reason is generating code that does not meet its intended purpose.,Scientific Claim
This type of error refers to instances where the chart does not meet the query due to incorrect data transformations.,Not a Scientific Claim
We then categorize these typical errors into five categories to reveal prevalent challenges.,Not a Scientific Claim
"As summarized in Table 3, CoML4VIS has the highest quality score, while Chat2vis has the highest pass rate, which shows that different prompt strategies can have varying effects on the model’s performance.",Scientific Claim
"Additionally, we noticed that previous approaches introduced distinct table formats, so we conducted an evaluation to understand how the pass rate of the same model varies across these different formats.",Not a Scientific Claim
"""Since both Chat2vis and LIDA are limited to generating visualizations from a single table, our comparison focuses on the quality of 689 visualizations that require data from a single table.",Not a Scientific Claim
LIDA describes the statistical information of each column in JSON format and samples N values randomly for each column.,Not a Scientific Claim
"To ensure fairness, we maintained all other settings of CoML4VIS unchanged except for the table format, and we standardized the sample size N to 10 for all formatting options.",Not a Scientific Claim
"However, different data formats have different impacts on the performance of different models.",Scientific Claim
"We observed that when generating with GPT-3.5, using the table format of Chat2vis results in the highest pass rate.",Scientific Claim
"In contrast, when generating with GPT-4, using the table format of Chat2vis yields the lowest pass rate.",Scientific Claim
"These observations suggest that different LLMs exhibit preferences for specific table formats, which may stem from the use of distinct training data during pretraining.",Scientific Claim
